url,found path in dmoz,matched url in dmoz,user vector category name,user vector category id,errors 1,error 2
https://www.alitalia.com/it_it,Top/Recreation/Travel/Transportation/Air/Airlines/A,http://www.alitalia.com/,Top/Recreation/Travel,268,none,
http://www.alitalia.com/it_it,Top/Recreation/Travel/Transportation/Air/Airlines/A,http://www.alitalia.com/,Top/Recreation/Travel,268,none,
http://www.alitalia.it/,,,,-1,none,
https://www.alitalia.com/it_it,Top/Recreation/Travel/Transportation/Air/Airlines/A,http://www.alitalia.com/,Top/Recreation/Travel,268,none,
http://www.alitalia.com/it_it,Top/Recreation/Travel/Transportation/Air/Airlines/A,http://www.alitalia.com/,Top/Recreation/Travel,268,none,
http://www.alitalia.it/,,,,-1,none,
https://www.alitalia.com/,Top/Recreation/Travel/Transportation/Air/Airlines/A,http://www.alitalia.com/,Top/Recreation/Travel,268,none,
https://www.alitalia.com/,Top/Recreation/Travel/Transportation/Air/Airlines/A,http://www.alitalia.com/,Top/Recreation/Travel,268,none,
https://www.alitalia.com/it_it,Top/Recreation/Travel/Transportation/Air/Airlines/A,http://www.alitalia.com/,Top/Recreation/Travel,268,none,
https://www.alitalia.com/it_it,Top/Recreation/Travel/Transportation/Air/Airlines/A,http://www.alitalia.com/,Top/Recreation/Travel,268,none,
https://www.alitalia.com/it_it/booking/flight-select.html#,Top/Recreation/Travel/Transportation/Air/Airlines/A,http://www.alitalia.com/,Top/Recreation/Travel,268,none,
https://www.alitalia.com/it_it/booking/flight-select.html#,Top/Recreation/Travel/Transportation/Air/Airlines/A,http://www.alitalia.com/,Top/Recreation/Travel,268,none,
https://online.bankotsar.co.il/wps/portal/,,,,-1,none,
https://online.bankotsar.co.il/wps/portal,,,,-1,none,
https://online.bankotsar.co.il/wps/portal/,,,,-1,none,
