"423945","Top/Arts/Animation","Animation","\N","2","1","Sites primarily related to mainstream television and film animation."
"427066","Top/Arts/Architecture","Architecture","\N","2","1","The art or science of planning and building structures."
"381790","Top/Arts/Art_History","Art_History","\N","2","1","The Art History category covers all types of art: painting, sculpture, architecture, etc. All time periods and movements are obviously covered as well."
"426581","Top/Arts/Awards","Awards","\N","2","1","General arts and entertainment award sites with multiple award content can be listed here, but the category is primarily for @links to awards categories in other areas of Arts."
"417851","Top/Arts/Bodyart","Bodyart","\N","2","1","This category is for decorative body modifications of all kinds, such as tattooing, body piercing, body painting, traditional Indian mehndi (painted henna designs on the hands and feet) and decorative scarification and branding. Some sites may also discuss other temporary forms of body decoration such as extreme hair colors and irregular suntans. Bodyart covers a span from pure decoration to a deeply religious ritual rite of passage, from the modern fashion statement to a spiritual return to the thought patterns of our more primitive ancestors."
"381789","Top/Arts/Chats_and_Forums","Chats_and_Forums","\N","2","1","Message boards or discussion forums where one can interact with other people interested in art topics by posting and replying to messages, on your own time."
"426585","Top/Arts/Classical_Studies","Classical_Studies","\N","2","1","Classics is the study and appreciation of the culture and wisdom of antiquity, in language, literature, philosophy, history, and related humanities. This category includes links to resources and organizations of classicists, English translations of works in ancient Greek and Latin, and crosslinks to related ODP subjects."
"428207","Top/Arts/Comics","Comics","\N","2","1",""
"395708","Top/Arts/Contests","Contests","\N","2","1","This category, <strong><a href='/Arts/Contests'>Arts: Contests</a></strong>, serves as an @link farm for contest categories located throughout the Arts branch."
"391943","Top/Arts/Costumes","Costumes","\N","2","1",""
"382229","Top/Arts/Crafts","Crafts","\N","2","1","This category is for sites about crafting and those that display crafters' work."
"427009","Top/Arts/Cultures_and_Groups","Cultures_and_Groups","\N","2","1","Arts and Entertainment resources specific to a cultural, ethnic, gender or social group."
"427826","Top/Arts/Design","Design","\N","2","1","Information on the general theory and philosophy of the design process."
"426566","Top/Arts/Digital","Digital","\N","2","1","Since the 1960s, computers have been used to create, enhance, or alter art in various ways. With the increasing availability of affordable multimedia equipment computers have become one of the most accessible mediums for art. <br /> The Internet has developed as the most challenging aspect for this community, and art is thriving on the Net, both in conceptual form and in web-based graphics and animations. <br /> We know `Digital Arts' is a sketchy term and possibly not the best. But today this seems to be understood by the artists working with digital support. Here we have defined Digital Arts as [Art + Computer + Interactivity + Multimedia]."
"381776","Top/Arts/Directories","Directories","\N","2","1","<p>For the purpose of this category, directories are a compilation of websites containing comprehensive indexes or lists of general art resources, galleries, individual artists and related information. The directory should be well established and well populated with listings. Please do not suggest 'new' undeveloped directories.</p>"
